    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
12120 | 3799             3800 6.723e-05 |
12140 | 3803             3804 6.666e-05 |
12160 | 3811             3812 6.739e-05 |
12180 | 3818             3819 6.618e-05 |
12200 | 3822             3823 6.697e-05 |
12220 | 3830             3831 6.737e-05 |
12240 | 3837             3838 6.708e-05 |
12260 | 3842             3843 6.773e-05 |
12280 | 3851             3852 6.798e-05 |
12300 | 3856             3857 6.296e-04 |
12320 | 3860             3861 1.076e-04 |
12340 | 3870             3871 1.290e-04 |
12360 | 3875             3876 1.075e-04 |
12380 | 3880             3881 7.006e-05 |
12400 | 3888             3889 6.985e-05 |
12420 | 3894             3895 7.917e-05 |
12440 | 3900             3901 7.023e-05 |
12460 | 3907             3908 7.071e-05 |
12480 | 3911             3912 7.050e-05 |
12500 | 3919             3920 6.999e-05 |
12520 | 3925             3926 7.017e-05 |
12540 | 3929             3930 7.118e-05 |
12560 | 3936             3937 7.804e-05 |
12580 | 3943             3944 7.057e-05 |
12600 | 3948             3949 7.143e-05 |
12620 | 3956             3957 7.135e-05 |
12640 | 3963             3964 7.123e-05 |
12660 | 3968             3969 9.292e-05 |
12680 | 3976             3977 6.973e-05 |
12700 | 3981             3982 6.951e-05 |
12720 | 3985             3986 7.040e-05 |
12740 | 3994             3995 7.045e-05 |
12760 | 3999             4000 7.003e-05 |
12780 | 4004             4005 7.023e-05 |
12800 | 4013             4014 7.067e-05 |
